Rk,year,TM,player,college,yrs,G,MP,PTS,TRB,AST,FG,3p%,FT,WS,ws48,BPM,VORP
209,1969,SDR,Joe Pridgen,NC Central,,,,,,,,,,,,,
210,1969,ATL,Cliff Parsons,United States Air Force Academy,,,,,,,,,,,,,
211,1969,BAL,Chip Case,Virginia,,,,,,,,,,,,,
212,1969,PHO,Solomon Davis,Kentucky State University,,,,,,,,,,,,,
213,1969,SDR,Blaine Royer,Illinois State,,,,,,,,,,,,,
214,1969,ATL,Grady O'Malley,Manhattan College,1,24,4.7,2.1,1.1,0.4,0.35,,0.421,-0.3,-0.136,,
215,1969,BAL,Brian Heaney,Acadia University,1,14,5,2,0.3,0.4,0.542,,0.5,0.2,0.106,,
216,1969,PHO,Jim Plump,Northern Arizona University,,,,,,,,,,,,,
217,1969,ATL,Carl Rodwell,"University of California, Riverside",,,,,,,,,,,,,
218,1969,BAL,Stan McKain,Southern University and A&M College,,,,,,,,,,,,,
1,1970,DET,Bob Lanier,St. Bonaventure,14,959,33.5,20.1,10.1,3.1,0.514,0.154,0.767,117.1,0.175,4.5,39.4
2,1970,SDR,Rudy Tomjanovich,Michigan,11,768,33.5,17.4,8.1,2,0.501,0.262,0.784,70.4,0.131,0.8,13.3
3,1970,ATL,Pete Maravich,LSU,10,658,37,24.2,4.2,5.4,0.441,0.667,0.82,46.7,0.092,0.2,8.9
4,1970,BOS,Dave Cowens,Florida State,11,766,38.6,17.6,13.6,3.8,0.46,0.071,0.783,86.3,0.14,2.3,21.5
5,1970,CIN,Sam Lacey,New Mexico State,13,1002,31.8,10.3,9.7,3.7,0.441,0.188,0.738,50.9,0.077,2.4,25.9
